environment,episodes,with_duration,no_duration,total_minutes,total_hours,share_pct
semiconductor_cleanroom_bengaluru_7397,13,13,0,36.35,0.6058,0.056
semiconductor_cleanroom_bengaluru_1818,13,13,0,36.35,0.6058,0.056
electronics_assembly_line_bengaluru_8561,9,9,0,26.25,0.4375,0.040
semiconductor_cleanroom_bengaluru_6253,8,8,0,24.00,0.4000,0.037
electronics_assembly_line_bengaluru_4802,8,8,0,21.23,0.3539,0.032
electronics_assembly_line_bengaluru_2255,3,3,0,8.42,0.1403,0.013
semiconductor_cleanroom_bengaluru_2207,2,2,0,0.64,0.0106,0.001
semiconductor_cleanroom_bengaluru_3000,2,2,0,0.64,0.0106,0.001
semiconductor_cleanroom_bengaluru_8666,2,2,0,0.64,0.0106,0.001
(none),40,0,40,0.00,0.0000,0.000
